City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Hithadhoo,MV,83.12,broken clouds,-0.6,73.0833,Scoop Guest House
9,Tuskegee,US,73.0,clear sky,32.424,-85.6916,Kellogg Hotel & Conference Center
10,Butaritari,KI,82.22,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Maceio,BR,77.0,few clouds,-9.6658,-35.7353,Poutur Pousada
14,Waddan,LY,75.92,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
15,Thap Khlo,TH,75.45,overcast clouds,16.16,100.5966,Khao Sai Country Club Golf Course
18,Haimen,CN,66.2,mist,23.1935,116.6142,Jinghao Business Hotel
20,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Miri,MY,75.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
25,Callaway,US,69.01,clear sky,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
28,Rikitea,PF,77.36,broken clouds,-23.1203,-134.9692,Pension Maro'i
35,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
37,Kavieng,PG,79.9,light rain,-2.5744,150.7967,Nusa Island Retreat
38,Gizo,SB,84.04,light rain,-8.103,156.8419,Imagination Island
42,Kieta,PG,82.26,light rain,-6.2167,155.6333,Uruna Bay Retreat
46,Port Alfred,ZA,68.56,broken clouds,-33.5906,26.891,The Halyards Hotel
48,Dalsingh Sarai,IN,73.2,clear sky,25.6667,85.8333,Hotel bhavya
51,Susangerd,IR,66.2,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
52,Comodoro Rivadavia,AR,80.6,clear sky,-45.8667,-67.5,Austral Hotel
53,Myrtle Beach,US,71.01,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
55,Ilhabela,BR,72.9,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
57,Cidreira,BR,72.79,clear sky,-30.1811,-50.2056,Hotel Castelo
58,Meridian,US,73.99,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
60,Hwange,ZW,66.74,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
63,Barra,BR,86.0,scattered clouds,-11.0894,-43.1417,Motel Albatroz
64,San Patricio,US,80.6,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
