City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,46.4,61,40,19.57,scattered clouds
1,Thompson,CA,55.7435,-97.8558,42.8,31,75,6.91,broken clouds
2,Hilo,US,19.7297,-155.09,78.8,61,90,3.44,overcast clouds
3,Hithadhoo,MV,-0.6,73.0833,83.12,75,72,17.49,broken clouds
4,Grindavik,IS,63.8424,-22.4338,17.6,57,75,13.8,broken clouds
5,Egvekinot,RU,66.3167,-179.1667,-2.92,75,34,2.77,scattered clouds
6,Albany,US,42.6001,-73.9662,59.0,44,43,1.99,scattered clouds
7,Airai,TL,-8.9266,125.4092,60.08,95,100,3.36,overcast clouds
8,Tonekabon,IR,36.8163,50.8738,51.8,76,0,2.3,clear sky
9,Tuskegee,US,32.424,-85.6916,73.0,28,1,8.05,clear sky
10,Butaritari,KI,3.0707,172.7902,82.22,79,80,16.33,broken clouds
11,Coihaique,CL,-45.5752,-72.0662,60.8,67,75,5.75,broken clouds
12,Maceio,BR,-9.6658,-35.7353,77.0,94,20,2.3,few clouds
13,Hermanus,ZA,-34.4187,19.2345,64.99,90,97,1.99,overcast clouds
14,Waddan,LY,29.1614,16.139,75.92,10,93,12.24,overcast clouds
15,Thap Khlo,TH,16.16,100.5966,75.45,88,100,3.11,overcast clouds
16,Orahovac,XK,42.3994,20.6547,33.8,80,40,4.61,scattered clouds
17,Olkhovatka,RU,50.2831,39.2872,37.49,92,97,6.13,overcast clouds
18,Haimen,CN,23.1935,116.6142,66.2,88,90,6.71,mist
19,Andenes,NO,69.3143,16.1194,28.4,86,71,13.8,broken clouds
20,Vaini,TO,-21.2,-175.2,78.8,89,20,10.36,few clouds
21,Miri,MY,4.4148,114.0089,75.2,94,40,3.44,scattered clouds
22,Chumikan,RU,54.7183,135.315,10.49,88,34,5.91,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,44.6,70,75,24.16,snow
24,Sarkand,KZ,45.41,79.9186,40.51,46,81,9.26,broken clouds
25,Callaway,US,30.153,-85.5699,69.01,60,2,7.0,clear sky
26,Porosozero,RU,62.7191,32.727,31.33,84,97,11.86,overcast clouds
27,Buraydah,SA,26.326,43.975,64.4,29,0,9.22,clear sky
28,Rikitea,PF,-23.1203,-134.9692,77.36,68,63,17.72,broken clouds
29,Barrow,US,71.2906,-156.7887,-4.0,71,1,16.11,clear sky
30,Port Hardy,CA,50.6996,-127.4199,46.4,57,20,12.66,few clouds
31,Imeni Poliny Osipenko,RU,52.4201,136.4853,28.0,57,15,3.56,few clouds
32,Hobart,AU,-42.8794,147.3294,57.99,67,40,6.91,scattered clouds
33,Eenhana,NA,-17.4667,16.3333,71.6,73,5,2.3,clear sky
34,Asau,RO,46.4333,26.4,30.99,65,67,3.47,light snow
35,Avarua,CK,-21.2078,-159.775,84.2,79,75,19.57,light rain
36,Cherskiy,RU,68.75,161.3,-4.09,93,64,1.59,broken clouds
37,Kavieng,PG,-2.5744,150.7967,79.9,79,97,5.53,light rain
38,Gizo,SB,-8.103,156.8419,84.04,72,95,6.08,light rain
39,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,90,17.27,snow
40,North Bend,US,43.4065,-124.2243,60.01,66,1,25.32,clear sky
41,Cape Town,ZA,-33.9258,18.4232,64.99,88,0,17.27,clear sky
42,Kieta,PG,-6.2167,155.6333,82.26,76,99,2.17,light rain
43,Vokhtoga,RU,58.8147,41.0461,29.95,89,89,7.56,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,27.0,46,1,5.75,clear sky
45,Qaanaaq,GL,77.484,-69.3632,-12.51,63,27,6.44,scattered clouds
